id,label
0,2
1,6
2,8
3,7
4,4
5,0
6,4
7,7
8,5
9,2
10,9
11,0
12,3
13,2
14,9
15,5
16,2
17,5
18,3
19,1
20,4
21,1
22,9
23,2
24,3
25,0
26,2
27,1
28,7
29,5
30,5
31,7
32,6
33,8
34,7
35,0
36,8
37,1
38,4
39,9
40,7
41,0
42,7
43,0
44,4
45,3
46,6
47,1
48,7
49,0
50,8
51,1
52,2
53,3
54,0
55,3
56,6
57,6
58,3
59,7
60,1
61,2
62,6
63,4
64,3
65,2
66,2
67,7
68,6
69,2
70,7
71,8
72,4
73,0
74,9
75,9
76,5
77,4
78,4
79,3
80,7
81,4
82,2
83,8
84,7
85,5
86,3
87,8
88,4
89,0
90,1
91,9
92,0
93,1
94,0
95,7
96,4
97,0
98,9
99,1
100,9
101,6
102,6
103,6
104,6
105,8
106,9
107,7
108,1
109,5
110,9
111,2
112,7
113,2
114,6
115,9
116,6
117,5
118,0
119,9
120,7
121,1
122,2
123,3
124,2
125,2
126,2
127,2
128,9
129,4
130,5
131,2
132,3
133,5
134,6
135,7
136,3
137,1
138,9
139,8
140,2
141,6
142,6
143,6
144,3
145,2
146,7
147,5
148,4
149,3
150,0
151,6
152,0
153,5
154,1
155,0
156,0
157,8
158,7
159,5
160,5
161,8
162,4
163,4
164,3
165,6
166,8
167,7
168,3
169,4
170,2
171,6
172,2
173,1
174,7
175,2
176,4
177,4
178,0
179,8
180,5
181,1
182,5
183,0
184,3
185,6
186,9
187,6
188,2
189,8
190,3
191,0
192,6
193,7
194,2
195,6
196,3
197,9
198,7
199,9
200,9
201,6
202,3
203,6
204,0
205,3
206,3
207,2
208,4
209,0
210,9
211,4
212,3
213,0
214,7
215,6
216,7
217,6
218,2
219,5
220,9
221,9
222,5
223,6
224,0
225,8
226,1
227,4
228,8
229,7
230,2
231,8
232,9
233,6
234,9
235,0
236,1
237,6
238,7
239,2
240,9
241,6
242,5
243,9
244,3
245,8
246,5
247,9
248,8
249,0
250,1
251,7
252,9
253,4
254,2
255,6
256,1
257,0
258,7
259,1
260,6
261,4
262,4
263,4
264,6
265,9
266,3
267,1
268,5
269,8
270,1
271,7
272,5
273,9
274,3
275,5
276,5
277,0
278,3
279,2
280,0
281,3
282,9
283,1
284,3
285,1
286,9
287,3
288,2
289,1
290,3
291,4
292,2
293,4
294,3
295,7
296,0
297,3
298,9
299,0
300,2
301,9
302,8
303,4
304,5
305,0
306,5
307,1
308,6
309,5
310,3
311,9
312,7
313,3
314,4
315,6
316,0
317,1
318,9
319,2
320,7
321,1
322,7
323,8
324,8
325,4
326,0
327,8
328,9
329,0
330,5
331,7
332,0
333,1
334,9
335,1
336,7
337,9
338,7
339,1
340,1
341,1
342,3
343,8
344,4
345,3
346,0
347,7
348,0
349,5
350,5
351,9
352,4
353,8
354,4
355,9
356,3
357,1
358,5
359,3
360,7
361,7
362,1
363,1
364,5
365,6
366,7
367,0
368,1
369,6
370,0
371,7
372,3
373,9
374,5
375,1
376,4
377,0
378,6
379,8
380,4
381,8
382,1
383,5
384,8
385,8
386,7
387,2
388,2
389,7
390,5
391,5
392,1
393,8
394,9
395,7
396,0
397,5
398,9
399,0
400,2
401,1
402,0
403,2
404,5
405,9
406,9
407,6
408,1
409,4
410,5
411,0
412,2
413,2
414,8
415,1
416,1
417,7
418,8
419,3
420,3
421,8
422,0
423,6
424,2
425,3
426,2
427,1
428,9
429,2
430,0
431,9
432,5
433,5
434,2
435,2
436,6
437,6
438,0
439,8
440,2
441,2
442,1
443,1
444,5
445,4
446,7
447,4
448,9
449,6
450,5
451,3
452,8
453,1
454,6
455,8
456,1
457,0
458,9
459,5
460,9
461,7
462,5
463,5
464,6
465,4
466,2
467,6
468,3
469,6
470,3
471,8
472,0
473,3
474,4
475,3
476,8
477,2
478,7
479,6
480,1
481,6
482,5
483,9
484,3
485,4
486,0
487,7
488,5
489,5
490,0
491,2
492,2
493,1
494,6
495,1
496,6
497,4
498,6
499,5
500,1
501,0
502,0
503,4
504,4
505,6
506,8
507,2
508,2
509,8
510,2
511,1
512,8
513,4
514,1
515,5
516,5
517,7
518,9
519,0
520,9
521,7
522,9
523,6
524,9
525,2
526,4
527,6
528,2
529,6
530,5
531,7
532,1
533,3
534,8
535,6
536,3
537,2
538,0
539,2
540,6
541,7
542,5
543,8
544,8
545,9
546,2
547,6
548,5
549,1
550,5
551,0
552,2
553,0
554,2
555,9
556,9
557,0
558,4
559,9
560,2
561,3
562,4
563,4
564,1
565,8
566,9
567,6
568,8
569,5
570,7
571,5
572,2
573,2
574,9
575,1
576,4
577,2
578,0
579,6
580,2
581,5
582,5
583,8
584,2
585,6
586,6
587,6
588,8
589,1
590,3
591,1
592,2
593,2
594,8
595,3
596,2
597,4
598,1
599,2
600,0
601,3
602,9
603,2
604,5
605,5
606,4
607,8
608,7
609,7
610,1
611,0
612,9
613,4
614,5
615,8
616,4
617,8
618,6
619,7
620,8
621,3
622,7
623,0
624,8
625,0
626,2
627,2
628,6
629,2
630,3
631,5
632,0
633,5
634,0
635,3
636,1
637,8
638,0
639,4
640,0
641,1
642,6
643,1
644,2
645,2
646,5
647,8
648,1
649,4
650,8
651,3
652,2
653,9
654,6
655,6
656,9
657,7
658,0
659,0
660,0
661,6
662,8
663,3
664,1
665,3
666,6
667,1
668,2
669,3
670,9
671,6
672,0
673,9
674,9
675,3
676,3
677,5
678,5
679,3
680,7
681,2
682,3
683,4
684,2
685,5
686,5
687,0
688,0
689,5
690,9
691,0
692,8
693,5
694,6
695,1
696,8
697,9
698,6
699,9
700,8
701,6
702,2
703,7
704,0
705,2
706,0
707,4
708,8
709,9
710,9
711,5
712,7
713,8
714,5
715,1
716,8
717,5
718,4
719,0
720,3
721,9
722,3
723,2
724,2
725,5
726,7
727,5
728,6
729,7
730,6
731,4
732,2
733,6
734,6
735,9
736,7
737,3
738,5
739,5
740,1
741,9
742,9
743,3
744,4
745,5
746,0
747,0
748,8
749,7
750,8
751,4
752,1
753,5
754,8
755,4
756,9
757,5
758,9
759,7
760,7
761,9
762,3
763,0
764,6
765,0
766,8
767,4
768,5
769,9
770,9
771,6
772,1
773,2
774,2
775,3
776,8
777,5
778,6
779,4
780,1
781,6
782,1
783,7
784,0
785,1
786,0
787,1
788,8
789,8
790,9
791,2
792,1
793,7
794,1
795,9
796,7
797,8
798,6
799,9
800,9
801,8
802,8
803,2
804,6
805,9
806,0
807,0
808,7
809,9
810,1
811,8
812,4
813,0
814,2
815,4
816,4
817,3
818,3
819,2
820,5
821,8
822,2
823,1
824,0
825,1
826,7
827,4
828,9
829,8
830,5
831,6
832,2
833,6
834,3
835,5
836,2
837,5
838,2
839,5
840,8
841,3
842,7
843,1
844,8
845,3
846,8
847,9
848,1
849,2
850,7
851,0
852,2
853,1
854,9
855,1
856,8
857,1
858,5
859,7
860,4
861,0
862,9
863,5
864,1
865,7
866,2
867,7
868,0
869,2
870,1
871,2
872,3
873,9
874,5
875,5
876,9
877,8
878,4
879,2
880,4
881,3
882,6
883,0
884,3
885,9
886,7
887,2
888,9
889,6
890,7
891,4
892,5
893,8
894,0
895,0
896,9
897,4
898,9
899,4
900,9
901,3
902,1
903,4
904,8
905,9
906,9
907,1
908,0
909,4
910,8
911,1
912,8
913,7
914,6
915,6
916,5
917,5
918,6
919,3
920,2
921,9
922,4
923,2
924,3
925,6
926,2
927,2
928,7
929,1
930,2
931,4
932,5
933,2
934,6
935,1
936,8
937,7
938,2
939,1
940,7
941,7
942,4
943,8
944,8
945,0
946,0
947,3
948,7
949,4
950,6
951,5
952,8
953,5
954,1
955,2
956,7
957,9
958,9
959,9
960,0
961,3
962,4
963,2
964,7
965,5
966,0
967,6
968,8
969,2
970,8
971,7
972,1
973,5
974,7
975,4
976,6
977,0
978,1
979,6
980,9
981,0
982,5
983,6
984,2
985,7
986,3
987,9
988,8
989,6
990,7
991,3
992,2
993,8
994,9
995,4
996,4
997,5
998,0
999,0
1000,1
1001,0
1002,0
1003,4
1004,0
1005,4
1006,1
1007,2
1008,3
1009,6
1010,5
1011,0
1012,8
1013,0
1014,3
1015,4
1016,9
1017,8
1018,1
1019,1
1020,1
1021,5
1022,5
1023,5
1024,0
1025,9
1026,5
1027,1
1028,0
1029,4
1030,6
1031,4
1032,1
1033,5
1034,1
1035,7
1036,0
1037,7
1038,5
1039,7
1040,5
1041,1
1042,5
1043,3
1044,7
1045,0
1046,7
1047,7
1048,2
1049,4
1050,6
1051,9
1052,8
1053,6
1054,0
1055,0
1056,4
1057,7
1058,5
1059,5
1060,1
1061,0
1062,8
1063,3
1064,7
1065,8
1066,7
1067,1
1068,3
1069,6
1070,1
1071,9
1072,8
1073,3
1074,5
1075,7
1076,8
1077,3
1078,3
1079,8
1080,5
1081,5
1082,3
1083,3
1084,6
1085,6
1086,0
1087,7
1088,9
1089,1
1090,4
1091,9
1092,7
1093,2
1094,0
1095,6
1096,2
1097,8
1098,9
1099,4
1100,4
1101,6
1102,4
1103,4
1104,6
1105,7
1106,4
1107,5
1108,6
1109,7
1110,2
1111,8
1112,3
1113,8
1114,6
1115,8
1116,0
1117,7
1118,9
1119,6
1120,7
1121,9
1122,2
1123,7
1124,5
1125,0
1126,3
1127,6
1128,0
1129,3
1130,5
1131,3
1132,4
1133,0
1134,9
1135,0
1136,4
1137,8
1138,4
1139,9
1140,8
1141,3
1142,5
1143,7
1144,8
1145,0
1146,0
1147,7
1148,5
1149,9
1150,1
1151,3
1152,5
1153,1
1154,9
1155,3
1156,5
1157,7
1158,3
1159,7
1160,1
1161,0
1162,7
1163,8
1164,6
1165,7
1166,5
1167,1
1168,2
1169,8
1170,7
1171,8
1172,3
1173,7
1174,3
1175,4
1176,8
1177,9
1178,6
1179,6
1180,1
1181,2
1182,3
1183,8
1184,9
1185,0
1186,0
1187,9
1188,3
1189,9
1190,6
1191,4
1192,7
1193,2
1194,6
1195,0
1196,9
1197,2
1198,2
1199,3
1200,3
1201,1
1202,6
1203,1
1204,2
1205,4
1206,4
1207,3
1208,3
1209,5
1210,1
1211,8
1212,9
1213,6
1214,8
1215,0
1216,1
1217,8
1218,4
1219,5
1220,3
1221,5
1222,0
1223,7
1224,0
1225,8
1226,5
1227,1
1228,2
1229,2
1230,2
1231,5
1232,4
1233,7
1234,7
1235,0
1236,5
1237,4
1238,3
1239,9
1240,3
1241,8
1242,6
1243,5
1244,2
1245,4
1246,2
1247,1
1248,9
1249,3
1250,8
1251,5
1252,5
1253,0
1254,8
1255,9
1256,5
1257,1
1258,0
1259,5
1260,2
1261,0
1262,9
1263,2
1264,1
1265,9
1266,8
1267,6
1268,3
1269,6
1270,1
1271,5
1272,3
1273,4
1274,4
1275,6
1276,7
1277,3
1278,0
1279,8
1280,1
1281,7
1282,1
1283,8
1284,6
1285,2
1286,2
1287,1
1288,8
1289,0
1290,6
1291,3
1292,1
1293,6
1294,4
1295,2
1296,2
1297,2
1298,6
1299,8
1300,2
1301,5
1302,3
1303,5
1304,3
1305,2
1306,0
1307,0
1308,7
1309,6
1310,4
1311,2
1312,7
1313,2
1314,7
1315,5
1316,4
1317,7
1318,5
1319,9
1320,0
1321,9
1322,3
1323,3
1324,5
1325,3
1326,0
1327,0
1328,7
1329,6
1330,5
1331,7
1332,3
1333,4
1334,3
1335,8
1336,9
1337,2
1338,7
1339,1
1340,5
1341,6
1342,4
1343,7
1344,4
1345,1
1346,4
1347,8
1348,1
1349,1
1350,9
1351,5
1352,8
1353,1
1354,6
1355,6
1356,7
1357,2
1358,4
1359,1
1360,9
1361,6
1362,2
1363,9
1364,6
1365,3
1366,6
1367,2
1368,4
1369,0
1370,1
1371,2
1372,2
1373,0
1374,4
1375,4
1376,3
1377,5
1378,6
1379,0
1380,9
1381,3
1382,0
1383,7
1384,7
1385,1
1386,8
1387,1
1388,1
1389,2
1390,0
1391,0
1392,7
1393,8
1394,9
1395,4
1396,8
1397,8
1398,2
1399,8
1400,4
1401,2
1402,9
1403,3
1404,5
1405,0
1406,3
1407,1
1408,8
1409,7
1410,4
1411,1
1412,8
1413,4
1414,2
1415,0
1416,1
1417,3
1418,7
1419,3
1420,8
1421,1
1422,2
1423,0
1424,2
1425,2
1426,5
1427,4
1428,8
1429,1
1430,4
1431,4
1432,8
1433,1
1434,8
1435,6
1436,4
1437,1
1438,8
1439,6
1440,9
1441,0
1442,2
1443,8
1444,3
1445,4
1446,7
1447,1
1448,9
1449,6
1450,1
1451,5
1452,5
1453,9
1454,2
1455,9
1456,1
1457,7
1458,4
1459,7
1460,0
1461,8
1462,4
1463,6
1464,1
1465,2
1466,9
1467,3
1468,8
1469,8
1470,9
1471,4
1472,0
1473,6
1474,4
1475,5
1476,1
1477,4
1478,3
1479,0
1480,2
1481,1
1482,7
1483,8
1484,0
1485,5
1486,1
1487,4
1488,5
1489,3
1490,9
1491,3
1492,8
1493,2
1494,1
1495,6
1496,9
1497,2
1498,6
1499,8
1500,3
1501,0
1502,5
1503,3
1504,9
1505,5
1506,0
1507,7
1508,6
1509,2
1510,6
1511,5
1512,4
1513,5
1514,1
1515,3
1516,8
1517,8
1518,2
1519,4
1520,7
1521,7
1522,9
1523,9
1524,7
1525,4
1526,4
1527,1
1528,2
1529,6
1530,2
1531,7
1532,0
1533,3
1534,1
1535,9
1536,7
1537,7
1538,2
1539,4
1540,2
1541,8
1542,2
1543,9
1544,7
1545,9
1546,5
1547,5
1548,8
1549,5
1550,3
1551,8
1552,0
1553,2
1554,7
1555,1
1556,2
1557,2
1558,1
1559,2
1560,4
1561,4
1562,1
1563,3
1564,5
1565,9
1566,1
1567,9
1568,8
1569,9
1570,9
1571,2
1572,8
1573,3
1574,3
1575,2
1576,7
1577,5
1578,6
1579,6
1580,0
1581,6
1582,3
1583,1
1584,5
1585,8
1586,3
1587,9
1588,5
1589,0
1590,8
1591,4
1592,3
1593,8
1594,8
1595,4
1596,8
1597,2
1598,3
1599,9
1600,2
1601,1
1602,7
1603,7
1604,4
